Max Runs,Max Time,Players,Heuristics,Bosses Defeated,% Castle Defeated,Turns Survived,Bosses/Turn
20,1.0,2,False,4,33.33%,20,0.2
20,1.0,2,False,4,33.33%,16,0.25
20,1.0,2,False,6,50.00%,25,0.24
20,1.0,2,False,7,58.33%,36,0.19
20,1.0,2,False,6,50.00%,21,0.29
500,5.0,2,False,7,58.33%,37,0.19
500,5.0,2,False,11,91.67%,49,0.22
500,5.0,2,False,7,58.33%,35,0.2
500,5.0,2,False,5,41.67%,28,0.18
500,5.0,2,False,8,66.67%,44,0.18
10000,10.0,2,False,11,91.67%,62,0.18
10000,10.0,2,False,12,100.00%,59,0.2
10000,10.0,2,False,8,66.67%,44,0.18
10000,10.0,2,False,12,100.00%,67,0.18
10000,10.0,2,False,9,75.00%,52,0.17
